,Profile factor,Symmetry,Crossflow,Swirl Angle,Average flow velocity,Average speed of sound,Average Signal Strength,Meter performance,Average Gain,Average Transit Time,Class Attruibute
0,1.185088889,1.028127778,1.016477778,0.15,2.394438889,1485.153222,4883.00486125,100.0,51.475,102.1353833925,1
1,1.191805556,1.03375,1.019411111,0.217,2.396088889,1485.030722,4880.964583249999,100.0,51.475,102.14380423875,1
2,1.181983333,1.028088889,1.020994444,0.0889,3.523516667,1485.061111,4859.806944374999,100.0,51.475,102.14186014375,1
3,1.182761111,1.028783333,1.021072222,0.117,3.525933333,1485.131278,4857.486805625001,100.0,51.475,102.13706338375,1
4,1.182272222,1.028922222,1.02135,0.0222,3.525127778,1485.103278,4855.3430555,100.0,51.475,102.139018745,1
5,1.177961111,1.030905556,1.01945,0.0167,3.526094444,1485.063889,4854.661110999999,100.0,51.475,102.14170986624998,1
6,1.187083333,1.029538889,1.020755556,0.217,3.523838889,1485.023444,4854.513194375,100.0,51.475,102.1444972975,1
7,1.183138889,1.03025,1.021972222,0.206,3.524916667,1485.025778,4854.276388875,100.0,51.475,102.1443296525,1
8,1.181677778,1.031594444,1.021438889,0.189,4.318294444,1485.066,4848.37916675,100.0,51.475,102.14173305750002,1
9,1.176644444,1.025333333,1.021261111,0.0389,5.341794444,1485.101222,4845.900694375,100.0,51.475,102.1395549925,1
10,1.175166667,1.030955556,1.023588889,0.0389,5.873866667,1485.325556,4840.1875,100.0,51.475,102.12428820625,1
11,1.178216667,1.026366667,1.022672222,0.15,6.446511111,1485.249389,4840.238194500001,100.0,51.475,102.1296628475,1
12,1.174122222,1.031733333,1.022855556,0.0722,6.446133333,1485.196111,4839.501388874999,100.0,51.475,102.13335040625,1
13,1.176083333,1.025911111,1.022261111,0.1,6.445472222,1485.385611,4839.2631945,100.0,51.475,102.12029228875,1
14,1.175838889,1.029305556,1.023955556,0.088888889,6.445605556,1485.563389,4838.477777624999,100.0,51.475,102.1080653525,1
15,1.174027778,1.029555556,1.022827778,0.083333333,6.446583333,1485.422444,4840.12083325,100.0,51.475,102.11780553875002,1
16,1.173205556,1.029394444,1.023177778,0.044444444,6.447083333,1485.334056,4840.57847225,100.0,51.475,102.12384534125,1
17,1.174877778,1.029327778,1.022738889,0.061111111,7.007811111,1485.344444,4835.4937498750005,100.0,51.475,102.1233063925,1
18,1.172383333,1.033272222,1.024777778,0.022222222,7.529366667,1485.541389,4825.092361125001,100.0,51.475,102.10998597375,1
19,1.420238889,0.961011111,0.957405556,1.29,2.664838889,1484.662056,3593.5881943750005,93.36666667,52.274305555000005,101.4486796525,2
20,1.2468,0.960172222,0.958061111,0.76,2.685888889,1483.505389,3390.073611125,90.27777778,53.30861111,101.28003722875002,2
21,0.866283333,0.577227778,0.586494444,-0.37,2.757061111,1487.319333,3041.5203343,83.70555556,57.9708333325,91.1506438775,2
22,1.456162011,0.861194444,0.852755556,0.17,5.524155556,1479.4475,1894.9472222500003,71.06666667,55.13777777749999,99.13931430125,2
23,1.23715,0.904427778,0.903516667,-0.06,5.643294444,1488.771056,2926.320139125,87.32777778,52.29625,98.80810123125,2
24,1.172066667,1.025833333,1.022111111,0.01,5.638733333,1490.4725,3817.773611,97.53888889,52.034305555,101.77054839500002,2
25,0.642938202,0.839572222,0.795061111,0.64,5.6052,1478.702056,1657.42774325,68.26111111,57.3075,97.83095869,2
26,1.190827778,1.020316667,1.009038889,0.23,8.083911111,1478.497389,2326.257638875,93.60555556,53.9865277775,102.57130771,2
27,1.184405556,1.023572222,1.01395,0.14,1.315461111,1490.304833,4520.004861125,99.97222222,52.5897222225,101.78368410874998,2
28,1.181927778,1.032433333,1.017605556,0.04,1.315033333,1490.132611,4540.740972125001,99.83888889,52.608611110000005,101.79555145,2
29,1.193094444,1.010088889,1.008488889,0.31,1.313922222,1487.213833,4599.921527875,100.0,52.4058333325,101.9950286775,2
30,1.198183333,1.009983333,1.009344444,0.37,1.304022222,1486.740611,4611.856944374999,99.98888889,52.313194445,102.02735923375,2
31,1.211366667,1.016494444,1.014527778,0.54,1.288855556,1486.017111,4448.015972375,96.86111111,53.3025,102.07358688875,2
32,1.312211111,0.972661111,0.9499,0.48,1.256283333,1482.513722,4299.513888875,90.76666667,53.964583332500005,100.99758799125,2
33,1.136838889,0.940277778,0.914677778,1.54,1.333388889,1482.642056,4371.988888875,87.49444444,54.90736111,100.29691250875,2
34,1.625277778,0.544638889,0.5326,-1.41,1.386261111,1484.599278,4192.6856325,81.22222222,59.84388889,90.62502944,2
35,1.279861111,1.097538889,1.090877778,1.85,7.441677778,1501.985333,4231.56899575,95.60555556,59.493750000000006,101.22244654,3
36,1.287733333,1.11275,1.104638889,1.828,6.88875,1501.948667,4271.694367874999,96.07777778,59.575,101.22472179125,3
37,1.291644444,1.1046,1.096916667,1.906,6.355544444,1501.769778,4273.291264,96.40555556,59.56041666749999,101.23665188125,3
38,1.282005556,1.099077778,1.089055556,1.789,6.368977778,1501.698944,4263.934967249999,96.52222222,59.616805555,101.24134749750002,3
39,1.280033333,1.102955556,1.094005556,1.733,6.363422222,1501.882611,4256.824662,96.65555556,59.58013889,101.2282802775,3
40,1.279061111,1.096305556,1.087266667,1.689,6.371088889,1501.776833,4278.829993125,96.92777778,59.549305555,101.2353535425,3
41,1.276705556,1.091683333,1.086594444,1.739,6.368633333,1501.655444,4268.8303265,97.24444444,59.56319444499999,101.24376090375,3
42,1.292644444,1.113844444,1.102544444,1.739,6.365777778,1501.576944,4270.783486249999,97.33333333,59.6083333325,101.24922687375,3
43,1.296166667,1.096772222,1.089177778,1.956,3.432427778,1501.193611,4289.686903,97.90555556,59.5,101.27510882,3
44,1.292188889,1.101433333,1.091744444,1.911,3.435033333,1501.155167,4286.559048625,97.98333333,59.5,101.27785207125,3
45,1.283383333,1.096877778,1.087438889,1.761,3.435766667,1501.118056,4278.08402775,98.02222222,59.5,101.2804298575,3
46,1.315583333,1.104455556,1.099094444,1.967,3.432788889,1501.1125,4275.81128475,97.89444444,59.5,101.28095423749998,3
47,1.280094444,1.102083333,1.088833333,1.728,3.438761111,1501.129167,4275.642520875001,97.72777778,59.5,101.2797069525,3
48,1.291227778,1.095355556,1.086561111,1.9,3.438133333,1501.165778,4280.74953475,97.98333333,59.5,101.277184035,3
49,1.307094444,1.096577778,1.090722222,1.994,2.38695,1501.1865,4283.895125125,97.89444444,59.5,101.27555332375002,3
50,1.290861111,1.095111111,1.081922222,1.806,2.390227778,1501.1775,4275.855687374999,98.19444444,59.5,101.276144935,3
51,1.285316667,1.089283333,1.085905556,1.8,4.217061111,1501.199389,4288.6408265,97.76111111,59.53333333250001,101.2750128625,3
52,1.283416667,1.094033333,1.087272222,1.833,5.298966667,1501.189333,4276.39890275,97.30555556,59.625,101.27566896625,3
53,1.293994444,1.110888889,1.098283333,1.828,5.801277778,1501.257389,4265.92733325,97.47222222,59.625,101.270978195,3
54,1.2868,1.100666667,1.092511111,1.811,5.802661111,1501.1225,4269.731541624999,97.13888889,59.625,101.27992611625,3
55,1.375172222,1.187527778,1.052705556,2.2,3.227816667,1523.378056,3426.685090899999,94.11666667,75.28763888999998,99.87250708875,3
56,1.271911111,1.064922222,0.868344444,2.09,3.216933333,1523.751389,3274.7235757125004,94.26111111,75.35375,99.84834666625,3
57,1.04605,1.497855556,1.128044444,2.07,3.214244444,1524.102222,3579.5132384,94.65555556,75.11986111000002,99.82532714125,3
58,1.5761,1.152322222,1.048,1.76,3.2321,1519.238889,3952.1393790875,94.56666667,72.963055555,100.09506373625,3
59,1.214477778,1.172,1.032044444,0.572,4.034633333,1505.696056,4082.7001582875,94.82222222,64.075,100.9136172175,3
60,1.213616667,1.187472222,1.028405556,0.533,4.998972222,1505.761778,4170.998701375001,95.42222222,63.875,100.90943507,3
61,1.216822222,1.178994444,1.031088889,0.667,5.570161111,1505.823111,4125.434743250001,96.4,63.77777777749999,100.90562992,3
62,1.220938889,1.150772222,1.042366667,0.794,6.183077778,1505.658889,4102.99154875,95.65,63.56722222249999,100.9167275775,3
63,1.22315,1.148861111,1.045761111,0.9,6.193783333,1505.746167,4127.178916625,95.49444444,63.55,100.91039861375,3
64,1.228538889,1.147172222,1.047438889,0.794,6.189288889,1505.5705,4167.57683325,94.83333333,63.55,100.92217029,3
65,1.229144444,1.153188889,1.053,0.856,6.199966667,1505.5595,4200.2897035,94.96666667,63.55,100.922789435,3
66,1.232594444,1.152072222,1.053155556,0.988888889,6.202361111,1505.734444,4208.11695125,95.36666667,63.55,100.91029861125,3
67,1.2225,1.138366667,1.0425,0.733333333,6.684383333,1505.710333,4071.19670125,94.49444444,63.225,100.91160701625,3
